sensor_index,name,timestamp,pm1_0,pm2_5
279854,Pinos,2026-09-08T16:12:31.491389+00:00,17.3,19.7
279866,Lomas del Campestre,2026-09-08T16:12:31.491389+00:00,19.7,25.6
279890,María Desatadora de Nudos,2026-09-08T16:12:31.491389+00:00,20.7,28.2
279926,Parque Mississippi,2026-09-08T16:12:31.491389+00:00,19.8,24.5
280524,Privada Paso de la Sierra,2026-09-08T16:12:31.491389+00:00,17.5,21.1
280520,Irish International School Campus First School,2026-09-08T16:12:31.491389+00:00,21.3,28.0
280532,Museo La Milarca,2026-09-08T16:12:31.491389+00:00,20.6,26.5
280534,Residencia Savotino,2026-09-08T16:12:31.491389+00:00,21.8,28.7
280644,Residencia nogal,2026-09-08T16:12:31.491389+00:00,20.2,27.9
280900,Rio Necaxa,2026-09-08T16:12:31.491389+00:00,20.5,27.8
280902,Residencia Rio Pesqueria,2026-09-08T16:12:31.491389+00:00,21.2,27.8
284960,Esquina Barranquilla y Patagonia (Altavista),2026-09-08T16:12:31.491389+00:00,24.4,32.7
286238,Oasis,2026-09-08T16:12:31.491389+00:00,18.8,22.6
286240,Casa Naranjos,2026-09-08T16:12:31.491389+00:00,22.2,28.8
288064,Terminal,2026-09-08T16:12:31.491389+00:00,28.7,38.4
288066,Hospital de San Vicente,2026-09-08T16:12:31.491389+00:00,25.8,34.0
288332,Facultad de Salud Pública y Nutrición,2026-09-08T16:12:31.491389+00:00,22.6,30.4
292893,TEC-AMM-RB-005,2026-09-08T16:12:31.491389+00:00,28.5,39.1
292895,TEC-AMM-RD-004,2026-09-08T16:12:31.491389+00:00,26.9,36.7
292889,TEC-AMM-RB-003,2026-09-08T16:12:31.491389+00:00,28.0,38.4
292891,TEC-AMM-RC-004,2026-09-08T16:12:31.491389+00:00,27.4,36.3
292901,TEC-AMM-RF-004,2026-09-08T16:12:31.491389+00:00,23.0,28.9
292897,TEC-AMM-RF-005,2026-09-08T16:12:31.491389+00:00,24.5,32.7
292905,TEC-AMM-RC-006,2026-09-08T16:12:31.491389+00:00,27.4,35.0
292941,TEC-AMM-RD-005,2026-09-08T16:12:31.491389+00:00,8.8,11.6
292943,TEC-AMM-RC-005,2026-09-08T16:12:31.491389+00:00,25.9,33.5
292939,TEC-AMM-RA-001,2026-09-08T16:12:31.491389+00:00,19.8,27.4
292949,TEC-AMM-RA-003,2026-09-08T16:12:31.491389+00:00,19.9,25.2
292951,TEC-AMM-RB-004,2026-09-08T16:12:31.491389+00:00,21.3,29.5
292947,TEC-AMM-RA-004,2026-09-08T16:12:31.491389+00:00,24.8,33.2
292957,TEC-AMM-RC-008,2026-09-08T16:12:31.491389+00:00,22.2,29.7
292973,TEC-AMM-RC-003,2026-09-08T16:12:31.491389+00:00,27.5,37.6
292983,TEC-AMM-RC-007,2026-09-08T16:12:31.491389+00:00,17.7,24.9
292997,TEC-AMM-RF-004,2026-09-08T16:12:31.491389+00:00,25.9,34.5
292999,TEC-AMM-RE-002,2026-09-08T16:12:31.491389+00:00,24.9,32.5
293001,TEC-AMM-RF-006,2026-09-08T16:12:31.491389+00:00,19.1,23.7
293003,TEC-AMM-RB-006,2026-09-08T16:12:31.491389+00:00,26.6,35.6
293469,Leon Ortigosa ABP,2026-09-08T16:12:31.491389+00:00,21.7,29.5
293465,Loma Larga,2026-09-08T16:12:31.491389+00:00,22.1,31.3
293467,UMF37,2026-09-08T16:12:31.491389+00:00,22.2,30.3
33027,Lagos del Bosque,2026-09-08T16:12:31.491389+00:00,12.3,19.5
33117,Liceo de Monterrey,2026-09-08T16:12:31.491389+00:00,22.6,35.0
34441,Callejon de los Ayala,2026-09-08T16:12:31.491389+00:00,3.6,6.4
34499,San Patricio #106,2026-09-08T16:12:31.491389+00:00,0.0,0.0
34511,Rosario,2026-09-08T16:12:31.491389+00:00,13.7,21.7
38663,Rayon Norte,2026-09-08T16:12:31.491389+00:00,14.2,19.1
42211,RF,2026-09-08T16:12:31.491389+00:00,11.3,15.2
305140,Bicla,2026-09-08T16:12:31.491389+00:00,23.6,33.3
305164,NuevaMaderoDave,2026-09-08T16:12:31.491389+00:00,26.0,35.6
305192,11a avenida cumbres 1 sector,2026-09-08T16:12:31.491389+00:00,23.1,31.1
305232,PurpleAir Ancira Mty,2026-09-08T16:12:31.491389+00:00,26.3,35.6
43627,Liceo de Monterrey Rosemont,2026-09-08T16:12:31.491389+00:00,23.6,24.7
45769,Huascaran,2026-09-08T16:12:31.491389+00:00,18.6,25.8
308956,Jardín de las carreras,2026-09-08T16:12:31.491389+00:00,23.5,32.1
49949,El Horizonte,2026-09-08T16:12:31.491389+00:00,21.2,32.7
50555,Treviño,2026-09-08T16:12:31.491389+00:00,0.0,0.0
50871,TEC Garza Laguera,2026-09-08T16:12:31.491389+00:00,11.8,17.2
321194,Ramsesgs,2026-09-08T16:12:31.491389+00:00,23.9,33.2
119937,Grupo Reforma Cumbres,2026-09-08T16:12:31.491389+00:00,7.0,16.7
119965,Grupo Reforma El Norte,2026-09-08T16:12:31.491389+00:00,16.8,23.7
121825,Grupo Reforma Sierra Madre,2026-09-08T16:12:31.491389+00:00,3324.7,3324.7
136522,Bosques de La Pastora,2026-09-08T16:12:31.491389+00:00,19.6,30.7
147010,Santa Barbara,2026-09-08T16:12:31.491389+00:00,13.6,19.3
174781,Colegio Cambridge de Monterrey Campus Mitras,2026-09-08T16:12:31.491389+00:00,20.6,25.6
174787,Colegio Cambridge de Monterrey Campus Norte,2026-09-08T16:12:31.491389+00:00,24.2,30.0
189431,BEA,2026-09-08T16:12:31.491389+00:00,18.5,26.8
189435,Olinalá,2026-09-08T16:12:31.491389+00:00,19.0,29.8
189447,Río Amazonas NO,2026-09-08T16:12:31.491389+00:00,20.4,29.9
189455,CHIPINQUE CAV,2026-09-08T16:12:31.491389+00:00,17.1,28.2
